,City,Date,lat,lon,AQI,CO,NO,NO2,O3,SO2,PM25,PM10,NH3,Population,Year,Month,Day,Hour,Minute
64,Delta,1626958800,38.7561,-108.0772,1,213.62,0.01,1.82,22.35,0.05,3.52,3.82,2.5,"8,995",2021,7,22,13,0
65,Denver,1626958800,39.7619,-104.8761,2,327.11,4.41,23.31,5.72,1.83,11.47,12.41,1.31,"727,211",2021,7,22,13,0
66,Dillon,1626958800,39.6214,-106.0394,2,161.89,0.03,1.63,11.27,0.05,10.11,10.64,0.06,967,2021,7,22,13,0
67,Dinosaur,1626958800,40.2397,-109.0067,1,205.28,0.0,0.98,35.76,0.02,1.52,6.71,2.85,332,2021,7,22,13,0
68,Dolores,1626958800,37.4742,-108.5,1,163.56,0.01,0.9,17.35,0.04,2.79,3.15,1.95,955,2021,7,22,13,0
69,Dove Creek,1626958800,37.7669,-108.9072,1,208.62,0.0,0.95,34.69,0.16,3.99,5.52,1.58,634,2021,7,22,13,0
70,Durango,1626958800,37.2658,-107.8783,1,160.22,0.01,0.46,15.02,0.02,2.67,2.9,0.14,"18,973",2021,7,22,13,0
71,Eads,1626958800,38.4814,-102.7797,1,191.93,0.01,0.9,68.67,0.25,6.62,6.89,1.79,602,2021,7,22,13,0
72,Eagle,1626958800,39.6367,-106.8125,1,135.18,0.16,2.46,6.17,0.01,3.6,3.95,0.62,"6,986",2021,7,22,13,0
73,Eaton,1626958800,40.5256,-104.7131,1,230.31,0.08,4.16,19.67,0.16,7.35,7.84,3.52,"5,738",2021,7,22,13,0
74,Eckley,1626958800,40.1122,-102.4883,1,195.27,0.01,1.0,67.23,0.22,6.26,6.41,2.34,258,2021,7,22,13,0
75,Edgewater,1626958800,39.7508,-105.0625,1,230.31,0.05,3.81,40.05,0.18,8.59,9.23,0.44,"5,335",2021,7,22,13,0
76,Elizabeth,1626958800,39.3589,-104.6194,2,236.99,0.02,2.66,40.05,0.16,15.76,16.22,0.72,"1,566",2021,7,22,13,0
77,Empire,1626958800,39.7594,-105.6822,2,191.93,0.01,0.86,43.27,0.14,10.16,10.6,0.15,304,2021,7,22,13,0
78,Englewood,1626958800,39.6467,-104.9942,2,327.11,4.41,23.31,5.72,1.83,11.47,12.41,1.31,"34,917",2021,7,22,13,0
79,Erie,1626958800,40.0403,-105.04,1,220.3,0.05,3.47,23.6,0.05,3.06,3.46,0.81,"27,003",2021,7,22,13,0
80,Estes Park,1626958800,40.37,-105.5217,1,180.24,0.04,1.65,20.39,0.02,3.99,4.28,0.1,"6,426",2021,7,22,13,0
81,Evans,1626958800,40.3661,-104.7389,1,240.33,0.3,7.28,11.62,0.14,8.3,9.01,3.86,"21,205",2021,7,22,13,0
82,Fairplay,1626958800,39.2244,-105.9967,1,178.58,0.02,1.26,28.97,0.13,9.92,10.27,0.06,787,2021,7,22,13,0
83,Federal Heights,1626958800,39.865,-105.0156,1,240.33,0.22,6.86,18.06,0.15,5.28,5.86,0.78,"12,827",2021,7,22,13,0
84,Firestone,1626958800,40.1564,-104.9494,1,213.62,0.3,6.77,9.57,0.08,4.29,4.99,3.39,"16,177",2021,7,22,13,0
85,Flagler,1626958800,39.2947,-103.0758,1,190.26,0.01,1.19,64.37,0.17,6.51,8.54,1.84,549,2021,7,22,13,0
86,Fleming,1626958800,40.6819,-102.8397,1,196.93,0.07,2.72,45.42,0.06,6.4,6.62,3.33,404,2021,7,22,13,0
87,Florence,1626958800,38.3836,-105.1114,2,203.61,0.02,2.42,21.64,0.06,14.41,14.94,2.09,"3,944",2021,7,22,13,0
88,Fort Collins,1626958800,40.5475,-105.0656,1,185.25,0.14,2.72,13.95,0.08,4.08,4.57,1.49,"170,243",2021,7,22,13,0
89,Fort Lupton,1626958800,40.0828,-104.8069,1,213.62,0.3,6.77,9.57,0.08,4.29,4.99,3.39,"8,317",2021,7,22,13,0
90,Fort Morgan,1626958800,40.2536,-103.7903,2,226.97,0.2,5.57,23.25,0.05,13.82,14.64,5.51,"11,463",2021,7,22,13,0
91,Fountain,1626958800,38.6883,-104.6828,2,253.68,0.2,14.57,35.05,1.03,10.2,11.85,2.15,"30,735",2021,7,22,13,0
92,Fowler,1626958800,38.1306,-104.0264,2,195.27,0.02,1.61,47.21,0.1,9.51,26.55,2.22,"1,141",2021,7,22,13,0
